x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
1486.52,53.83,942.91,81.97,80.57,80.73,80.79,57.75,,,,,,,,,,,,
1488.48,52.28,944.87,79.61,81.92,80.11,80.12,57.75,,,,,,,,,,,,
1490.45,52.95,946.84,80.63,82.47,82.69,80.36,57.75,,,,,,,,,,,,
1492.41,52.6,948.80,80.09,82.52,83.08,83.72,57.75,,,,,,,,,,,,
1494.38,57.36,950.77,87.34,81.92,83.33,84.57,57.75,,,,,,,,,,,,
1496.34,53.72,952.73,81.80,80.29,80.11,81.33,57.75,,,,,,,,,,,,
1498.31,53.1,954.70,80.86,80.55,79.78,79.26,57.75,,,,,,,,,,,,
1500.27,51.01,956.66,77.67,81.18,80.45,79.25,57.75,,,,,,,,,,,,
1502.24,53.08,958.63,80.83,81.85,82.34,81.85,57.75,,,,,,,,,,,,
1504.2,54.42,960.59,82.87,83.47,82.19,83.10,57.75,,,,,,,,,,,,
1506.17,54.73,962.56,83.34,79.40,83.68,81.85,57.75,,,,,,,,,,,,
1508.14,52.78,964.53,80.37,64.01,78.09,83.85,57.75,,,,,,,,,,,,
1510.1,57.35,966.49,87.33,50.42,58.55,76.95,57.75,,,,,,,,,,,,
1512.07,43.72,968.46,66.57,49.66,38.12,44.17,57.75,,,,,,,,,,,,
1514.03,14.29,970.42,21.76,52.87,44.02,23.89,57.75,,,,,,,,,,,,
1516,17.09,972.39,26.02,68.56,63.24,55.15,57.75,,,,,,,,,,,,
1517.96,55.35,974.35,84.28,83.79,82.74,81.85,57.75,,,,,,,,,,,,
1519.93,52.15,976.32,79.41,84.74,83.63,81.97,57.75,,,,,,,,,,,,
1521.89,55.51,978.28,84.53,86.09,86.51,85.74,57.75,,,,,,,,,,,,
1523.86,57.11,980.25,86.96,85.10,86.61,87.51,57.75,,,,,,,,,,,,
1525.83,57.83,982.22,88.06,83.75,84.47,86.44,57.75,,,,,,,,,,,,
1527.82,55.7,984.21,84.81,74.77,82.32,82.68,57.75,,,,,,,,,,,,
1529.81,52.9,986.20,80.55,66.26,71.42,81.07,57.75,,,,,,,,,,,,
1531.8,53.58,988.19,81.59,63.52,61.50,66.85,57.75,,,,,,,,,,,,
1533.79,34.23,990.18,52.12,62.73,57.49,51.46,57.75,,,,,,,,,,,,
1535.79,33.36,992.18,50.80,71.31,66.27,60.18,57.75,,,,,,,,,,,,
1537.78,45.68,994.17,69.56,74.01,78.15,74.00,57.75,,,,,,,,,,,,
1539.77,51.52,996.16,78.45,66.90,75.50,82.44,57.75,,,,,,,,,,,,
1541.76,56.76,998.15,86.43,56.99,63.05,74.03,57.75,,,,,,,,,,,,
1543.75,40.47,1000.14,61.62,56.74,47.18,51.36,57.75,,,,,,,,,,,,
1545.74,26.99,1002.13,41.10,62.94,55.11,39.96,57.75,,,,,,,,,,,,
1547.74,25.49,1004.13,38.81,74.51,70.22,62.11,57.75,,,,,,,,,,,,
1549.73,56.09,1006.12,85.41,86.89,86.41,85.93,57.75,,,,,,,,,,,,
1551.72,56.77,1008.11,86.44,86.44,87.39,86.91,57.75,,,,,,,,,,,,
1553.71,57.38,1010.10,87.37,87.32,86.44,87.86,57.75,,,,,,,,,,,,
1555.7,58.02,1012.09,88.35,87.68,87.31,85.97,57.75,,,,,,,,,,,,
1557.69,54.9,1014.08,83.60,86.17,87.46,86.79,57.75,,,,,,,,,,,,
1559.68,59.09,1016.07,89.98,88.26,87.03,89.39,57.75,,,,,,,,,,,,
1561.68,58.32,1018.07,88.80,88.27,87.69,85.55,57.75,,,,,,,,,,,,
1563.67,54.05,1020.06,82.30,85.97,88.10,87.13,57.75,,,,,,,,,,,,
1565.66,60.39,1022.05,91.96,85.07,87.19,91.00,57.75,,,,,,,,,,,,
1567.65,59.13,1024.04,90.04,83.97,82.77,84.81,57.75,,,,,,,,,,,,
1569.64,52.26,1026.03,79.58,82.51,81.94,79.14,57.75,,,,,,,,,,,,
1571.63,51.69,1028.02,78.71,84.48,83.48,83.12,57.75,,,,,,,,,,,,
1573.62,57.49,1030.01,87.54,84.93,86.40,85.87,57.75,,,,,,,,,,,,
1575.61,55.3,1032.00,84.21,86.44,84.06,85.83,57.75,,,,,,,,,,,,
1577.58,57.43,1033.97,87.45,86.39,87.18,83.99,57.75,,,,,,,,,,,,
1579.54,52.89,1035.93,80.54,86.61,86.04,87.05,57.75,,,,,,,,,,,,
1581.51,61.45,1037.90,93.57,87.40,88.64,88.80,57.75,,,,,,,,,,,,
1583.47,55.18,1039.86,84.02,84.99,85.35,86.17,57.75,,,,,,,,,,,,
1585.44,58,1041.83,88.32,84.54,85.31,86.01,57.75,,,,,,,,,,,,
1587.4,54.97,1043.79,83.70,83.74,83.28,83.81,57.75,,,,,,,,,,,,
1589.37,55.11,1045.76,83.92,84.37,83.75,83.07,57.75,,,,,,,,,,,,
1591.33,54,1047.72,82.23,85.85,84.52,83.67,57.75,,,,,,,,,,,,
1593.3,55.9,1049.69,85.12,89.01,87.05,85.67,57.75,,,,,,,,,,,,
1595.27,56.62,1051.66,86.22,89.54,90.31,88.02,57.75,,,,,,,,,,,,
1597.23,58.99,1053.62,89.82,88.95,90.65,92.36,57.75,,,,,,,,,,,,
1599.2,62.32,1055.59,94.89,86.52,88.66,91.07,57.75,,,,,,,,,,,,
1601.16,57.29,1057.55,87.24,84.94,83.73,85.55,57.75,,,,,,,,,,,,
1603.13,55.07,1059.52,83.86,84.35,84.18,81.98,57.75,,,,,,,,,,,,
1605.09,52.61,1061.48,80.11,83.12,84.51,84.34,57.75,,,,,,,,,,,,
1607.06,58.17,1063.45,88.58,83.65,84.13,86.71,57.75,,,,,,,,,,,,
1609.02,55.72,1065.41,84.85,82.45,82.01,81.91,57.75,,,,,,,,,,,,
1610.99,51.86,1067.38,78.97,82.31,81.65,80.60,57.75,,,,,,,,,,,,
1612.95,54,1069.34,82.23,83.60,83.42,82.99,57.75,,,,,,,,,,,,
1614.92,55,1071.31,83.75,84.64,84.06,84.02,57.75,,,,,,,,,,,,
1616.89,55.36,1073.28,84.30,85.44,84.93,84.21,57.75,,,,,,,,,,,,
1618.85,55.25,1075.24,84.13,86.60,85.81,85.25,57.75,,,,,,,,,,,,
1620.82,56.72,1077.21,86.37,87.43,87.43,86.66,57.75,,,,,,,,,,,,
1622.78,57.1,1079.17,86.95,89.72,87.78,87.96,57.75,,,,,,,,,,,,
1624.75,58.43,1081.14,88.97,89.35,90.65,88.20,57.75,,,,,,,,,,,,
1626.72,57.41,1083.11,87.42,90.00,89.47,91.48,57.75,,,,,,,,,,,,
1628.71,62.75,1085.10,95.55,89.06,90.86,90.50,57.75,,,,,,,,,,,,
1630.7,56.12,1087.09,85.45,88.47,86.90,88.52,57.75,,,,,,,,,,,,
1632.68,60.15,1089.07,91.59,88.31,89.47,87.62,57.75,,,,,,,,,,,,
1634.67,54.94,1091.06,83.66,88.83,87.22,88.41,57.75,,,,,,,,,,,,
1636.65,61.18,1093.04,93.16,88.90,90.55,88.99,57.75,,,,,,,,,,,,
1638.64,55.71,1095.03,84.83,87.41,87.48,89.25,57.75,,,,,,,,,,,,
1640.62,61.51,1097.01,93.66,90.89,88.27,88.80,57.75,,,,,,,,,,,,
1642.61,55.13,1099.00,83.95,89.02,89.97,85.58,57.75,,,,,,,,,,,,
1644.59,57.27,1100.98,87.21,90.95,90.72,92.98,57.75,,,,,,,,,,,,
1646.58,64.86,1102.97,98.76,89.15,92.20,92.47,57.75,,,,,,,,,,,,
1648.56,56.6,1104.95,86.19,88.37,85.95,88.92,57.75,,,,,,,,,,,,
1650.55,60.19,1106.94,91.65,89.93,89.10,85.83,57.75,,,,,,,,,,,,
1652.54,52.54,1108.93,80.00,90.67,89.36,87.83,57.75,,,,,,,,,,,,
1654.52,62.82,1110.91,95.66,94.48,94.22,94.04,57.75,,,,,,,,,,,,
1656.51,60.7,1112.90,92.43,91.19,94.09,93.50,57.75,,,,,,,,,,,,
1658.49,62.11,1114.88,94.58,89.76,90.78,94.93,57.75,,,,,,,,,,,,
1660.48,62.57,1116.87,95.28,86.62,88.16,88.88,57.75,,,,,,,,,,,,
1662.46,54.17,1118.85,82.48,83.36,83.73,84.60,57.75,,,,,,,,,,,,
1664.45,56.95,1120.84,86.72,82.71,83.66,84.36,57.75,,,,,,,,,,,,
1666.43,53.85,1122.82,82.00,82.22,81.37,82.13,57.75,,,,,,,,,,,,
1668.42,54.02,1124.81,82.26,84.93,82.29,81.06,57.75,,,,,,,,,,,,
1670.4,52.45,1126.79,79.87,85.08,85.82,82.31,57.75,,,,,,,,,,,,
1672.39,55.66,1128.78,84.75,88.22,86.81,88.80,57.75,,,,,,,,,,,,
1674.37,60.98,1130.76,92.85,88.30,89.38,87.84,57.75,,,,,,,,,,,,
1676.36,54.4,1132.75,82.84,85.80,86.78,87.64,57.75,,,,,,,,,,,,
1678.34,60.71,1134.73,92.44,87.09,86.79,88.75,57.75,,,,,,,,,,,,
1680.32,55.86,1136.71,85.06,84.88,85.30,83.97,57.75,,,,,,,,,,,,
1682.31,54.43,1138.70,82.88,85.90,84.81,85.42,57.75,,,,,,,,,,,,
1684.29,57.77,1140.68,87.97,86.89,86.91,85.78,57.75,,,,,,,,,,,,
1686.28,54.9,1142.67,83.60,87.27,86.53,86.38,57.75,,,,,,,,,,,,
1688.26,58.56,1144.65,89.17,90.09,88.50,87.99,57.75,,,,,,,,,,,,
1690.24,57.01,1146.63,86.81,91.96,90.39,88.16,57.75,,,,,,,,,,,,
1692.23,58.79,1148.62,89.52,95.64,93.68,92.18,57.75,,,,,,,,,,,,
1694.21,62.29,1150.60,94.85,97.14,97.68,95.76,57.75,,,,,,,,,,,,
1696.19,63.49,1152.58,96.68,94.61,97.90,99.10,57.75,,,,,,,,,,,,
1698.18,66.67,1154.57,101.52,91.59,93.92,98.51,57.75,,,,,,,,,,,,
1700.16,62.72,1156.55,95.50,86.90,88.29,90.11,57.75,,,,,,,,,,,,
1702.14,55.64,1158.53,84.72,84.03,84.03,84.68,57.75,,,,,,,,,,,,
1704.13,55.58,1160.52,84.63,84.32,83.80,83.68,57.75,,,,,,,,,,,,
1706.11,54.33,1162.50,82.73,84.04,84.22,83.38,57.75,,,,,,,,,,,,
1708.09,55.19,1164.48,84.04,83.13,84.48,84.97,57.75,,,,,,,,,,,,
1710.08,56.41,1166.47,85.90,81.21,82.83,84.70,57.75,,,,,,,,,,,,
1712.06,54.84,1168.45,83.51,81.03,79.65,81.30,57.75,,,,,,,,,,,,
1714.04,51.94,1170.43,79.09,80.68,80.21,77.72,57.75,,,,,,,,,,,,
1716.03,50.14,1172.42,76.35,81.93,81.21,80.77,57.75,,,,,,,,,,,,
1718.01,55.95,1174.40,85.20,88.26,83.79,83.63,57.75,,,,,,,,,,,,
1719.99,53.9,1176.38,82.07,88.11,89.29,83.09,57.75,,,,,,,,,,,,
1721.98,55.23,1178.37,84.10,88.78,90.12,92.89,57.75,,,,,,,,,,,,
1723.96,66.78,1180.35,101.69,88.39,90.34,93.13,57.75,,,,,,,,,,,,
1725.92,55.54,1182.31,84.57,87.04,83.95,84.66,57.75,,,,,,,,,,,,
1727.89,55.66,1184.28,84.75,86.90,87.86,83.64,57.75,,,,,,,,,,,,
1729.86,54.2,1186.25,82.53,86.93,87.62,89.41,57.75,,,,,,,,,,,,
1731.83,63.24,1188.22,96.30,89.04,88.40,90.16,57.75,,,,,,,,,,,,
1733.79,55.18,1190.18,84.02,86.02,86.62,84.46,57.75,,,,,,,,,,,,
1735.76,55.75,1192.15,84.89,89.25,86.68,87.92,57.75,,,,,,,,,,,,
1737.73,59.73,1194.12,90.95,90.25,90.70,87.58,57.75,,,,,,,,,,,,
1739.7,55.3,1196.09,84.21,88.21,90.02,90.58,57.75,,,,,,,,,,,,
1741.66,63.67,1198.05,96.95,89.35,89.55,92.93,57.75,,,,,,,,,,,,
1743.63,58.39,1200.02,88.91,87.54,86.82,85.84,57.75,,,,,,,,,,,,
1745.6,54.36,1201.99,82.77,86.42,87.08,85.77,57.75,,,,,,,,,,,,
1747.57,58.3,1203.96,88.77,84.96,87.64,89.24,57.75,,,,,,,,,,,,
1749.53,58.91,1205.92,89.70,87.15,83.68,87.07,57.75,,,,,,,,,,,,
1751.5,55.45,1207.89,84.43,85.50,86.30,80.67,57.75,,,,,,,,,,,,
1753.47,50.51,1209.86,76.91,88.31,85.85,87.24,57.75,,,,,,,,,,,,
1755.43,64.07,1211.82,97.56,90.05,92.10,90.32,57.75,,,,,,,,,,,,
1757.4,54.56,1213.79,83.08,87.27,87.54,89.38,57.75,,,,,,,,,,,,
1759.37,62.83,1215.76,95.67,86.90,88.67,89.77,57.75,,,,,,,,,,,,
1761.34,55.08,1217.73,83.87,82.70,83.97,85.17,57.75,,,,,,,,,,,,
1763.3,56.79,1219.69,86.47,83.17,82.31,84.02,57.75,,,,,,,,,,,,
1765.27,53.57,1221.66,81.57,82.64,82.07,80.23,57.75,,,,,,,,,,,,
1767.24,51.81,1223.63,78.89,83.48,82.99,82.32,57.75,,,,,,,,,,,,
1769.21,56.32,1225.60,85.76,84.13,85.01,85.04,57.75,,,,,,,,,,,,
1771.17,55.38,1227.56,84.33,82.75,83.58,84.63,57.75,,,,,,,,,,,,
1773.15,55.78,1229.54,84.94,84.22,82.23,83.21,57.75,,,,,,,,,,,,
1775.14,53.51,1231.53,81.48,83.66,83.98,80.87,57.75,,,,,,,,,,,,
1777.13,52.71,1233.52,80.26,83.73,84.38,85.23,57.75,,,,,,,,,,,,
1779.12,59.23,1235.51,90.19,87.17,84.88,86.44,57.75,,,,,,,,,,,,
1781.11,54.31,1237.50,82.70,84.21,86.16,82.23,57.75,,,,,,,,,,,,
1783.1,53.69,1239.49,81.75,85.59,84.71,87.89,57.75,,,,,,,,,,,,
1785.09,61.75,1241.48,94.03,87.55,86.87,86.19,57.75,,,,,,,,,,,,
1787.08,51.45,1243.47,78.34,84.48,85.39,83.28,57.75,,,,,,,,,,,,
1789.07,57.94,1245.46,88.23,87.43,86.53,88.91,57.75,,,,,,,,,,,,
1791.06,58.84,1247.45,89.60,84.41,87.16,85.68,57.75,,,,,,,,,,,,
1793.06,53.7,1249.45,81.77,84.48,82.68,85.95,57.75,,,,,,,,,,,,
1795.05,59.19,1251.44,90.13,84.83,85.38,83.13,57.75,,,,,,,,,,,,
1797.04,50,1253.43,76.14,84.54,83.06,83.01,57.75,,,,,,,,,,,,
1799.03,59.03,1255.42,89.89,85.94,87.35,86.52,57.75,,,,,,,,,,,,
1801.02,54.61,1257.41,83.15,84.67,84.62,86.08,57.75,,,,,,,,,,,,
1803.01,58.45,1259.40,89.00,84.93,85.17,85.36,57.75,,,,,,,,,,,,
1805,53.66,1261.39,81.71,84.12,83.57,83.26,57.75,,,,,,,,,,,,
1806.99,55.7,1263.38,84.81,85.26,84.92,84.49,57.75,,,,,,,,,,,,
1808.98,55.28,1265.37,84.18,88.36,85.41,84.97,57.75,,,,,,,,,,,,
1810.97,56.33,1267.36,85.77,90.84,89.76,86.03,57.75,,,,,,,,,,,,
1812.96,56.67,1269.35,86.29,90.62,92.53,91.75,57.75,,,,,,,,,,,,
1814.95,63.84,1271.34,97.21,91.54,92.06,95.65,57.75,,,,,,,,,,,,
1816.95,61.79,1273.34,94.09,91.81,89.65,89.48,57.75,,,,,,,,,,,,
1818.94,55.74,1275.33,84.88,89.29,91.05,87.43,57.75,,,,,,,,,,,,
1820.93,59.1,1277.32,89.99,88.63,90.76,94.13,57.75,,,,,,,,,,,,
1822.92,64.54,1279.31,98.28,89.34,88.18,91.15,57.75,,,,,,,,,,,,
1824.89,55.18,1281.28,84.02,87.14,86.36,83.13,57.75,,,,,,,,,,,,
1826.86,54.01,1283.25,82.24,86.43,88.18,87.53,57.75,,,,,,,,,,,,
1828.83,60.95,1285.22,92.81,87.61,87.83,91.15,57.75,,,,,,,,,,,,
1830.8,58.77,1287.19,89.49,87.53,85.88,85.34,57.75,,,,,,,,,,,,
1832.76,53.32,1289.15,81.19,86.07,86.87,84.08,57.75,,,,,,,,,,,,
1834.73,57.11,1291.12,86.96,89.77,87.70,89.71,57.75,,,,,,,,,,,,
1836.7,60.72,1293.09,92.46,88.53,90.70,88.07,57.75,,,,,,,,,,,,
1838.67,54.96,1295.06,83.69,85.19,87.22,89.82,57.75,,,,,,,,,,,,
1840.63,63.02,1297.02,95.96,85.52,85.69,88.99,57.75,,,,,,,,,,,,
1842.6,53.86,1298.99,82.01,81.99,82.04,80.55,57.75,,,,,,,,,,,,
1844.57,51.94,1300.96,79.09,83.31,81.99,82.05,57.75,,,,,,,,,,,,
1846.53,55.83,1302.92,85.01,83.20,84.72,83.44,57.75,,,,,,,,,,,,
1848.5,53.76,1304.89,81.86,83.01,82.59,84.58,57.75,,,,,,,,,,,,
1850.47,57.33,1306.86,87.30,83.88,83.39,82.96,57.75,,,,,,,,,,,,
1852.44,51.63,1308.83,78.62,83.12,82.74,81.44,57.75,,,,,,,,,,,,
1854.4,55.34,1310.79,84.27,82.76,84.62,84.80,57.75,,,,,,,,,,,,
1856.37,56.04,1312.76,85.33,85.10,82.25,84.80,57.75,,,,,,,,,,,,
1858.34,55.34,1314.73,84.27,85.00,85.03,80.71,57.75,,,,,,,,,,,,
1860.3,50.67,1316.69,77.16,86.12,85.24,85.41,57.75,,,,,,,,,,,,
1862.27,61.51,1318.66,93.66,88.57,89.11,89.28,57.75,,,,,,,,,,,,
1864.24,55.76,1320.63,84.91,89.02,86.88,86.83,57.75,,,,,,,,,,,,
1866.21,58.29,1322.60,88.76,90.09,90.39,87.86,57.75,,,,,,,,,,,,
1868.17,57.11,1324.56,86.96,94.17,90.54,91.20,57.75,,,,,,,,,,,,
1870.14,62.68,1326.53,95.44,96.33,96.57,92.33,57.75,,,,,,,,,,,,
1872.11,58.59,1328.50,89.22,93.27,96.63,97.14,57.75,,,,,,,,,,,,
1874.09,69,1330.48,105.07,95.66,94.62,100.34,57.75,,,,,,,,,,,,
1876.07,62.79,1332.46,95.61,90.67,92.52,89.39,57.75,,,,,,,,,,,,
1878.05,54.62,1334.44,83.17,87.59,89.02,90.98,57.75,,,,,,,,,,,,
1880.03,64.88,1336.42,98.79,88.26,89.07,91.95,57.75,,,,,,,,,,,,
1882.02,55.89,1338.41,85.10,84.63,84.75,84.21,57.75,,,,,,,,,,,,
1884,54.71,1340.39,83.31,85.91,84.47,84.58,57.75,,,,,,,,,,,,
1885.98,56.38,1342.37,85.85,85.75,86.78,85.05,57.75,,,,,,,,,,,,
1887.96,55.33,1344.35,84.25,85.08,85.71,87.25,57.75,,,,,,,,,,,,
1889.94,59.27,1346.33,90.25,85.56,85.36,86.44,57.75,,,,,,,,,,,,
1891.92,54.27,1348.31,82.64,86.70,84.00,82.92,57.75,,,,,,,,,,,,
1893.9,54.64,1350.29,83.20,88.63,88.05,84.68,57.75,,,,,,,,,,,,
1895.88,56.58,1352.27,86.15,90.07,90.43,90.48,57.75,,,,,,,,,,,,
1897.86,62.26,1354.25,94.80,89.49,91.38,92.57,57.75,,,,,,,,,,,,
1899.84,59.33,1356.23,90.34,88.38,87.72,89.66,57.75,,,,,,,,,,,,
1901.82,58.44,1358.21,88.99,87.13,87.73,86.41,57.75,,,,,,,,,,,,
1903.8,55.06,1360.19,83.84,86.98,86.51,87.10,57.75,,,,,,,,,,,,
1905.78,59.34,1362.17,90.36,88.53,88.02,87.84,57.75,,,,,,,,,,,,
1907.76,56.04,1364.15,85.33,88.81,87.92,86.86,57.75,,,,,,,,,,,,
1909.74,58.04,1366.13,88.38,92.38,89.97,89.22,57.75,,,,,,,,,,,,
1911.73,59.14,1368.12,90.05,93.96,93.71,90.76,57.75,,,,,,,,,,,,
1913.71,60.07,1370.10,91.47,95.04,95.26,95.54,57.75,,,,,,,,,,,,
1915.69,65.42,1372.08,99.62,94.75,96.23,97.16,57.75,,,,,,,,,,,,
1917.67,62.19,1374.06,94.70,92.20,93.13,94.54,57.75,,,,,,,,,,,,
1919.65,61.99,1376.04,94.39,91.90,91.36,92.34,57.75,,,,,,,,,,,,
1921.63,59.3,1378.02,90.30,92.01,91.07,89.85,57.75,,,,,,,,,,,,
1923.62,58.71,1380.01,89.40,93.76,92.58,91.45,57.75,,,,,,,,,,,,
1925.61,61.41,1382.00,93.51,92.60,95.21,94.16,57.75,,,,,,,,,,,,
1927.6,62.27,1383.99,94.82,91.82,92.30,96.06,57.75,,,,,,,,,,,,
1929.59,63.9,1385.98,97.30,89.57,90.82,91.04,57.75,,,,,,,,,,,,
1931.58,55.68,1387.97,84.78,87.70,87.00,87.58,57.75,,,,,,,,,,,,
1933.57,59.35,1389.96,90.37,90.44,88.67,88.10,57.75,,,,,,,,,,,,
1935.56,56.37,1391.95,85.83,90.65,90.46,87.81,57.75,,,,,,,,,,,,
1937.55,58.97,1393.94,89.79,91.09,92.25,92.77,57.75,,,,,,,,,,,,
1939.54,62.88,1395.93,95.75,90.73,91.52,93.48,57.75,,,,,,,,,,,,
1941.53,59.9,1397.92,91.21,89.05,89.05,89.41,57.75,,,,,,,,,,,,
1943.52,57.54,1399.91,87.62,88.68,88.33,87.97,57.75,,,,,,,,,,,,
1945.51,58.01,1401.90,88.33,88.45,89.03,88.69,57.75,,,,,,,,,,,,
1947.5,58.48,1403.89,89.05,89.39,88.49,89.38,57.75,,,,,,,,,,,,
1949.49,58.92,1405.88,89.72,89.80,89.51,88.22,57.75,,,,,,,,,,,,
1951.48,56.95,1407.87,86.72,88.30,89.82,89.41,57.75,,,,,,,,,,,,
1953.47,60.48,1409.86,92.09,88.83,88.82,91.38,57.75,,,,,,,,,,,,
1955.46,59.54,1411.85,90.66,87.26,87.75,87.19,57.75,,,,,,,,,,,,
1957.45,54.98,1413.84,83.72,86.27,86.12,86.29,57.75,,,,,,,,,,,,
1959.44,58.36,1415.83,88.87,87.64,87.12,87.33,57.75,,,,,,,,,,,,
1961.43,56.34,1417.82,85.79,85.32,87.23,86.25,57.75,,,,,,,,,,,,
1963.42,56.95,1419.81,86.72,85.73,85.17,87.95,57.75,,,,,,,,,,,,
1965.41,58.57,1421.80,89.18,84.72,85.40,84.40,57.75,,,,,,,,,,,,
1967.4,52.28,1423.79,79.61,84.25,83.23,83.51,57.75,,,,,,,,,,,,
1969.38,57.4,1425.77,87.40,86.36,85.79,85.04,57.75,,,,,,,,,,,,
1971.37,54.3,1427.76,82.68,88.16,86.01,84.99,57.75,,,,,,,,,,,,
1973.34,57.33,1429.73,87.30,89.10,89.99,87.68,57.75,,,,,,,,,,,,
1975.31,57.83,1431.70,88.06,87.68,89.70,91.33,57.75,,,,,,,,,,,,
1977.28,62.13,1433.67,94.61,87.89,87.56,90.52,57.75,,,,,,,,,,,,
1979.24,56.77,1435.63,86.44,85.35,85.65,84.04,57.75,,,,,,,,,,,,
1981.21,53.61,1437.60,81.63,82.90,84.98,85.26,57.75,,,,,,,,,,,,
1983.18,58.37,1439.57,88.88,80.54,83.33,86.66,57.75,,,,,,,,,,,,
1985.15,55.45,1441.54,84.43,77.42,77.76,80.55,57.75,,,,,,,,,,,,
1987.12,50.35,1443.51,76.67,76.95,75.08,74.42,57.75,,,,,,,,,,,,
1989.09,47.4,1445.48,72.18,78.60,77.04,74.29,57.75,,,,,,,,,,,,
1991.06,50.17,1447.45,76.39,79.45,80.74,79.47,57.75,,,,,,,,,,,,
1993.03,54.21,1449.42,82.55,81.92,80.46,82.92,57.75,,,,,,,,,,,,
1994.99,54.7,1451.38,83.29,83.12,81.71,79.42,57.75,,,,,,,,,,,,
1996.96,49.62,1453.35,75.56,84.57,83.07,80.92,57.75,,,,,,,,,,,,
1998.93,56.67,1455.32,86.29,90.19,87.57,86.82,57.75,,,,,,,,,,,,
2000.9,57.37,1457.29,87.36,91.54,91.49,88.21,57.75,,,,,,,,,,,,
2002.87,58.49,1459.26,89.06,92.35,92.94,93.55,57.75,,,,,,,,,,,,
2004.84,64.39,1461.23,98.05,92.60,93.44,94.87,57.75,,,,,,,,,,,,
2006.81,60.22,1463.20,91.70,88.10,90.78,91.14,57.75,,,,,,,,,,,,
2008.78,59.49,1465.17,90.59,86.79,86.90,90.33,57.75,,,,,,,,,,,,
2010.74,59.15,1467.13,90.07,85.44,85.53,85.05,57.75,,,,,,,,,,,,
2012.71,52.56,1469.10,80.03,82.20,83.90,83.25,57.75,,,,,,,,,,,,
2014.68,56.79,1471.07,86.47,83.03,82.93,85.83,57.75,,,,,,,,,,,,
2016.65,55.94,1473.04,85.18,80.60,81.88,81.15,57.75,,,,,,,,,,,,
2018.62,50.65,1475.01,77.12,79.82,79.07,80.22,57.75,,,,,,,,,,,,
2020.59,54.72,1476.98,83.32,80.59,80.72,80.05,57.75,,,,,,,,,,,,
2022.57,50.42,1478.96,76.77,79.04,79.68,79.42,57.75,,,,,,,,,,,,
2024.56,53.89,1480.95,82.06,79.12,79.79,81.14,57.75,,,,,,,,,,,,
2026.55,52.68,1482.94,80.22,80.84,78.15,78.66,57.75,,,,,,,,,,,,
2028.54,50.64,1484.93,77.11,80.70,81.05,77.11,57.75,,,,,,,,,,,,
2030.53,50.64,1486.92,77.11,80.66,81.89,83.03,57.75,,,,,,,,,,,,
2032.52,58.41,1488.91,88.94,81.29,81.85,84.28,57.75,,,,,,,,,,,,
2034.51,52.29,1490.90,79.62,78.75,78.74,78.30,57.75,,,,,,,,,,,,
2036.5,50.55,1492.89,76.97,78.33,78.45,78.31,57.75,,,,,,,,,,,,
2038.49,52.3,1494.88,79.64,80.05,78.78,79.20,57.75,,,,,,,,,,,,
2040.48,51.72,1496.87,78.75,81.23,80.19,78.35,57.75,,,,,,,,,,,,
2042.47,51.19,1498.86,77.95,80.60,82.06,80.90,57.75,,,,,,,,,,,,
2044.46,55.07,1500.85,83.86,80.31,81.48,84.11,57.75,,,,,,,,,,,,
2046.45,55.41,1502.84,84.37,80.48,79.13,80.29,57.75,,,,,,,,,,,,
2048.44,50.05,1504.83,76.21,82.99,79.18,76.51,57.75,,,,,,,,,,,,
2050.43,50.44,1506.82,76.81,84.65,85.26,80.67,57.75,,,,,,,,,,,,
2052.41,55.51,1508.80,84.53,89.38,87.26,89.48,57.75,,,,,,,,,,,,
2054.4,62.02,1510.79,94.44,91.83,91.00,88.63,57.75,,,,,,,,,,,,
2056.39,54.39,1512.78,82.82,91.09,90.96,89.28,57.75,,,,,,,,,,,,
2058.38,62.88,1514.77,95.75,90.78,93.84,95.03,57.75,,,,,,,,,,,,
2060.37,61.94,1516.76,94.32,87.08,89.12,92.89,57.75,,,,,,,,,,,,
2062.36,60.07,1518.75,91.47,85.09,84.67,86.52,57.75,,,,,,,,,,,,
2064.35,53.57,1520.74,81.57,82.95,82.97,81.27,57.75,,,,,,,,,,,,
2066.34,53.17,1522.73,80.96,84.45,83.40,83.66,57.75,,,,,,,,,,,,
2068.33,56.72,1524.72,86.37,86.73,85.61,84.62,57.75,,,,,,,,,,,,
2070.32,54.43,1526.71,82.88,86.29,86.86,85.23,57.75,,,,,,,,,,,,
2072.29,57.51,1528.68,87.57,87.66,87.43,88.84,57.75,,,,,,,,,,,,
2074.27,59.18,1530.66,90.11,87.92,87.69,87.36,57.75,,,,,,,,,,,,
2076.24,55.56,1532.63,84.60,87.39,87.18,86.47,57.75,,,,,,,,,,,,
2078.22,58.02,1534.61,88.35,87.76,88.32,88.48,57.75,,,,,,,,,,,,
2080.19,58.19,1536.58,88.61,86.41,87.56,88.30,57.75,,,,,,,,,,,,
2082.17,57.79,1538.56,88.00,84.86,85.68,87.04,57.75,,,,,,,,,,,,
2084.14,56.53,1540.53,86.08,84.14,83.81,84.53,57.75,,,,,,,,,,,,
