x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
132.58,10.64,-411.03,16.20,15.75,14.13,13.83,57.75,,,,,,,,,,,,
134.56,7.52,-409.05,11.45,14.71,15.60,13.10,57.75,,,,,,,,,,,,
136.53,9.68,-407.08,14.74,15.82,15.79,17.68,57.75,,,,,,,,,,,,
138.51,13.54,-405.10,20.62,15.85,16.18,16.32,57.75,,,,,,,,,,,,
140.48,7.89,-403.13,12.01,14.80,14.26,13.96,57.75,,,,,,,,,,,,
142.46,10.45,-401.15,15.91,16.63,15.73,15.38,57.75,,,,,,,,,,,,
144.43,9.75,-399.18,14.85,16.38,16.87,15.65,57.75,,,,,,,,,,,,
146.4,10.8,-397.21,16.45,15.68,16.89,17.88,57.75,,,,,,,,,,,,
148.36,12.69,-395.25,19.32,17.13,15.42,17.11,57.75,,,,,,,,,,,,
150.31,9.78,-393.30,14.89,17.45,16.40,13.48,57.75,,,,,,,,,,,,
152.27,7.92,-391.34,12.06,17.56,18.30,17.16,57.75,,,,,,,,,,,,
154.22,14.62,-389.39,22.26,17.96,19.39,21.42,57.75,,,,,,,,,,,,
156.18,13.52,-387.43,20.59,16.85,16.52,17.96,57.75,,,,,,,,,,,,
158.13,10.07,-385.48,15.33,16.84,15.61,14.49,57.75,,,,,,,,,,,,
160.09,8.96,-383.52,13.64,16.61,17.34,15.74,57.75,,,,,,,,,,,,
162.04,11.72,-381.57,17.85,16.05,17.59,19.19,57.75,,,,,,,,,,,,
164,13.48,-379.61,20.53,16.04,15.46,17.47,57.75,,,,,,,,,,,,
165.95,9.46,-377.66,14.40,15.37,14.54,12.92,57.75,,,,,,,,,,,,
167.91,7.51,-375.70,11.44,16.38,15.69,14.61,57.75,,,,,,,,,,,,
169.86,11.68,-373.75,17.79,17.85,18.02,17.82,57.75,,,,,,,,,,,,
171.82,11.72,-371.79,17.85,18.52,17.88,18.14,57.75,,,,,,,,,,,,
173.77,12.11,-369.84,18.44,18.82,18.75,17.89,57.75,,,,,,,,,,,,
175.73,11.39,-367.88,17.34,18.14,18.95,18.90,57.75,,,,,,,,,,,,
177.68,13.44,-365.93,20.47,17.26,18.40,19.75,57.75,,,,,,,,,,,,
179.64,12.5,-363.97,19.03,16.02,16.19,17.37,57.75,,,,,,,,,,,,
181.59,10.32,-362.02,15.71,16.50,15.02,14.77,57.75,,,,,,,,,,,,
183.55,9.08,-360.06,13.83,16.20,16.76,14.67,57.75,,,,,,,,,,,,
185.5,10.19,-358.11,15.52,16.09,16.99,18.23,57.75,,,,,,,,,,,,
187.46,13.75,-356.15,20.94,14.81,16.28,17.73,57.75,,,,,,,,,,,,
189.41,9.54,-354.20,14.53,12.86,12.77,13.96,57.75,,,,,,,,,,,,
191.37,8.79,-352.24,13.38,13.19,12.30,11.89,57.75,,,,,,,,,,,,
193.32,6.83,-350.29,10.40,15.74,13.13,11.76,57.75,,,,,,,,,,,,
195.28,8.61,-348.33,13.11,16.82,17.52,14.50,57.75,,,,,,,,,,,,
197.26,10.43,-346.35,15.88,17.77,18.06,19.73,57.75,,,,,,,,,,,,
199.23,15.48,-344.38,23.57,17.95,18.39,19.15,57.75,,,,,,,,,,,,
201.2,9.67,-342.41,14.72,17.66,16.08,15.81,57.75,,,,,,,,,,,,
203.18,11.09,-340.43,16.89,15.84,18.64,16.76,57.75,,,,,,,,,,,,
205.15,10.92,-338.46,16.63,18.55,15.49,19.51,57.75,,,,,,,,,,,,
207.12,14.71,-336.49,22.40,20.05,19.19,14.91,57.75,,,,,,,,,,,,
209.1,4.88,-334.51,7.43,19.11,19.26,17.59,57.75,,,,,,,,,,,,
211.07,18.22,-332.54,27.74,21.77,23.01,25.18,57.75,,,,,,,,,,,,
213.04,14.85,-330.57,22.61,19.54,19.77,20.64,57.75,,,,,,,,,,,,
215.02,12.26,-328.59,18.67,18.44,18.52,18.36,57.75,,,,,,,,,,,,
216.99,11.85,-326.62,18.04,17.90,18.36,18.44,57.75,,,,,,,,,,,,
218.96,12.37,-324.65,18.84,19.50,17.86,18.52,57.75,,,,,,,,,,,,
220.94,11.95,-322.67,18.20,18.82,19.72,17.37,57.75,,,,,,,,,,,,
222.91,10.86,-320.70,16.54,17.78,19.02,20.49,57.75,,,,,,,,,,,,
224.88,16.05,-318.73,24.44,19.02,18.19,20.27,57.75,,,,,,,,,,,,
226.86,10.57,-316.75,16.09,18.74,17.21,15.07,57.75,,,,,,,,,,,,
228.83,9.22,-314.78,14.04,18.33,19.62,17.77,57.75,,,,,,,,,,,,
230.8,14.12,-312.81,21.50,19.81,19.76,22.41,57.75,,,,,,,,,,,,
232.78,15.32,-310.83,23.33,18.57,19.25,18.90,57.75,,,,,,,,,,,,
234.75,9.5,-308.86,14.47,17.56,16.98,17.21,57.75,,,,,,,,,,,,
236.72,13.11,-306.89,19.96,20.37,18.59,18.23,57.75,,,,,,,,,,,,
238.7,10.84,-304.91,16.51,19.83,20.51,17.90,57.75,,,,,,,,,,,,
240.67,12.67,-302.94,19.29,19.86,20.94,22.51,57.75,,,,,,,,,,,,
242.64,16.9,-300.97,25.73,18.48,20.04,21.77,57.75,,,,,,,,,,,,
244.62,11.69,-298.99,17.80,16.41,16.06,17.20,57.75,,,,,,,,,,,,
246.57,10.9,-297.04,16.60,14.47,15.94,15.20,57.75,,,,,,,,,,,,
248.53,9.06,-295.08,13.80,15.29,13.76,15.62,57.75,,,,,,,,,,,,
250.48,11.45,-293.13,17.43,17.06,15.79,13.73,57.75,,,,,,,,,,,,
252.43,6.59,-291.18,10.03,17.90,16.93,14.96,57.75,,,,,,,,,,,,
254.39,13.06,-289.22,19.89,24.39,20.52,20.38,57.75,,,,,,,,,,,,
256.34,13.71,-287.27,20.88,27.21,25.89,20.84,57.75,,,,,,,,,,,,
258.29,13.66,-285.32,20.80,25.67,29.32,28.39,57.75,,,,,,,,,,,,
260.24,23.63,-283.37,35.98,25.77,27.29,33.58,57.75,,,,,,,,,,,,
262.2,20.47,-281.41,31.17,23.05,22.37,22.95,57.75,,,,,,,,,,,,
264.15,9.67,-279.46,14.72,19.32,20.35,17.97,57.75,,,,,,,,,,,,
266.1,13.93,-277.51,21.21,22.93,20.85,23.16,57.75,,,,,,,,,,,,
268.05,16.49,-275.56,25.11,21.56,23.51,20.67,57.75,,,,,,,,,,,,
270.01,10.66,-273.60,16.23,19.21,20.37,22.70,57.75,,,,,,,,,,,,
271.96,19.16,-271.65,29.18,21.45,20.20,22.44,57.75,,,,,,,,,,,,
273.91,10.32,-269.70,15.71,21.84,18.88,15.71,57.75,,,,,,,,,,,,
275.86,10.31,-267.75,15.70,22.77,23.89,20.46,57.75,,,,,,,,,,,,
277.82,16.56,-265.79,25.22,25.06,25.12,27.98,57.75,,,,,,,,,,,,
279.77,20.19,-263.84,30.74,24.28,25.01,25.08,57.75,,,,,,,,,,,,
281.72,12.75,-261.89,19.41,19.93,22.12,22.15,57.75,,,,,,,,,,,,
283.68,16.34,-259.93,24.88,18.16,20.10,23.47,57.75,,,,,,,,,,,,
285.63,14.49,-257.98,22.06,17.96,15.92,17.71,57.75,,,,,,,,,,,,
287.58,8.77,-256.03,13.35,19.77,16.59,12.85,57.75,,,,,,,,,,,,
